# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 16:09:29 2025
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_srho_err1:  Fitted Stellar Density Upper Unc. [g/cm**3]
# COLUMN koi_srho_err2:  Fitted Stellar Density Lower Unc. [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
1,10797460,K00752.01,CONFIRMED,CANDIDATE,1.0000,9.488035570,2.7750000e-05,-2.7750000e-05,2.95750,0.08190,-0.08190,6.1580e+02,1.950e+01,-1.950e+01,0.022344,8.320000e-04,-5.280000e-04,3.20796,0.33173,-1.09986,2.26,2.600e-01,-1.500e-01,0.0853,,,793.0,,,93.59,29.45,-16.65,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
2,10797460,K00752.02,CONFIRMED,CANDIDATE,0.9690,54.418382700,2.4790000e-04,-2.4790000e-04,4.50700,0.11600,-0.11600,8.7480e+02,3.550e+01,-3.550e+01,0.027954,9.078000e-03,-1.347000e-03,3.02368,2.20489,-2.49638,2.83,3.200e-01,-1.900e-01,0.2734,,,443.0,,,9.11,2.87,-1.62,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
3,10811496,K00753.01,CANDIDATE,CANDIDATE,0.0000,19.899139950,1.4940000e-05,-1.4940000e-05,1.78220,0.03410,-0.03410,1.0829e+04,1.710e+02,-1.710e+02,0.154046,5.034292e+00,-4.217900e-02,7.29555,35.03293,-2.75453,14.60,3.920e+00,-1.310e+00,0.1419,,,638.0,,,39.30,31.04,-10.49,5853.00,158.00,-176.00,4.544,0.044,-0.176,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210
4,10848459,K00754.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.736952453,2.6300000e-07,-2.6300000e-07,2.40641,0.00537,-0.00537,8.0792e+03,1.280e+01,-1.280e+01,0.387394,1.092320e-01,-8.495000e-02,0.22080,0.00917,-0.01837,33.46,8.500e+00,-2.830e+00,0.0267,,,1395.0,,,891.96,668.95,-230.35,5805.00,157.00,-174.00,4.564,0.053,-0.168,0.7910,0.2010,-0.0670,0.8360,0.0930,-0.0770
5,10854555,K00755.01,CONFIRMED,CANDIDATE,1.0000,2.525591777,3.7610000e-06,-3.7610000e-06,1.65450,0.04200,-0.04200,6.0330e+02,1.690e+01,-1.690e+01,0.024064,3.751000e-03,-1.522000e-03,1.98635,2.71141,-1.74541,2.75,8.800e-01,-3.500e-01,0.0374,,,1406.0,,,926.16,874.33,-314.24,6031.00,169.00,-211.00,4.438,0.070,-0.210,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360
6,10872983,K00756.01,CONFIRMED,CANDIDATE,1.0000,11.094320540,2.0360000e-05,-2.0360000e-05,4.59450,0.06100,-0.06100,1.5175e+03,2.420e+01,-2.420e+01,0.036779,5.115000e-03,-1.065000e-03,0.67324,0.33286,-0.38858,3.90,1.270e+00,-4.200e-01,0.0992,,,835.0,,,114.81,112.85,-36.70,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
7,10872983,K00756.02,CONFIRMED,CANDIDATE,1.0000,4.134435120,1.0460000e-05,-1.0460000e-05,3.14020,0.06730,-0.06730,6.8600e+02,1.870e+01,-1.870e+01,0.026133,1.968000e-03,-2.055000e-03,0.37377,0.74768,-0.26357,2.77,9.000e-01,-3.000e-01,0.0514,,,1160.0,,,427.65,420.33,-136.70,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
8,10872983,K00756.03,CONFIRMED,CANDIDATE,0.9920,2.566588970,1.7810000e-05,-1.7810000e-05,2.42900,0.16500,-0.16500,2.2650e+02,1.680e+01,-1.680e+01,0.014983,3.935000e-03,-1.417000e-03,0.48909,0.95593,-0.45121,1.59,5.200e-01,-1.700e-01,0.0374,,,1360.0,,,807.74,793.91,-258.20,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
9,6721123,K00114.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.361789580,2.1280000e-05,-2.1280000e-05,5.02200,0.13600,-0.13600,2.3370e+02,5.800e+00,-5.800e+00,0.183387,7.128076e+00,-4.313100e-02,0.00485,0.27864,-0.00053,39.21,6.450e+00,-9.670e+00,0.0820,,,1342.0,,,767.22,349.28,-365.49,6227.00,111.00,-124.00,3.986,0.182,-0.098,1.9580,0.3220,-0.4830,1.3580,0.1210,-0.2070
10,10910878,K00757.01,CONFIRMED,CANDIDATE,1.0000,16.068646740,1.0880000e-05,-1.0880000e-05,3.53470,0.02410,-0.02410,4.9143e+03,3.330e+01,-3.330e+01,0.062161,9.130000e-04,-4.280000e-04,3.66590,0.11507,-0.51226,5.76,2.200e-01,-4.900e-01,0.1158,,,600.0,,,30.75,4.46,-6.66,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
