# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 16:09:41 2025
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
#
loc_rowid,toi,toipfx,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
1,1000.01,1000,50365310,FP,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.7782100,-37.7782100,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,,,,3127.2040524,,,,485.7350000,11.9515000,-11.9515000,0,10249.0000000,264.7000000,-264.7000000,0,4.1900000,0.0700000,-0.0700000,0,2.1698600,0.0725729,-0.0725729,0
2,1001.01,1001,88863718,PC,1.9316462,0.0000053,-0.0000053,0,3.1660000,0.6470000,-0.6470000,0,1286.0000000,1186.4900000,-1186.4900000,0,11.2154000,2.6242000,-2.6242000,0,44464.5000000,,,,4045.0000000,,,,295.8620000,5.9100000,-5.9100000,0,7070.0000000,126.4000000,-126.4000000,0,4.0300000,0.0900000,-0.0900000,0,2.0100000,0.0900000,-0.0900000,0
3,1002.01,1002,124709665,FP,1.8675574,0.0000030,-0.0000030,0,1.4080000,0.1840000,-0.1840000,0,1500.0000000,1.7584000,-1.7584000,0,23.7529000,,,0,2860.6100000,,,,2037.0000000,,,,943.1090000,106.3330000,-106.3330000,0,8924.0000000,124.0000000,-124.0000000,0,,,,0,5.7300000,,,0
4,1003.01,1003,106997505,FP,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0,383.4100000,0.7819880,-0.7819880,0,,,,0,1177.3600000,,,,1631.0000000,,,,7728.1700000,1899.5700000,-1899.5700000,0,5388.5000000,567.0000000,-567.0000000,0,4.1500000,1.6400000,-1.6400000,0,,,,0
5,1004.01,1004,238597883,FP,3.5730141,0.0000128,-0.0000128,0,3.3700000,1.0290000,-1.0290000,0,755.0000000,1306.5500000,-1306.5500000,0,11.3113000,3.2471400,-3.2471400,0,54679.3000000,,,,4260.0000000,,,,356.4370000,4.6175000,-4.6175000,0,9219.0000000,171.1000000,-171.1000000,0,4.1400000,0.0700000,-0.0700000,0,2.1500000,0.0600000,-0.0600000,0
6,1005.01,1005,169904935,FP,4.5505945,0.0000031,-0.0000031,0,2.6540000,0.3390000,-0.3390000,0,3731.0000000,123.7230000,-123.7230000,0,7.1084100,0.4746110,-0.4746110,0,414.7750000,,,,1257.0000000,,,,100.7110000,14.1210000,-14.1210000,0,5613.0000000,179.9000000,-179.9000000,0,,,,0,1.0900000,0.0700000,-0.0700000,0
7,1006.01,1006,156115721,FP,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.5402194,81.3808800,-81.3808800,0,8.6950898,8.4387660,-8.4387660,0,1750.9326350,,,,1649.8220699,,,,,,,0,6616.0000000,200.0000000,-200.0000000,0,,,,0,1.5342900,1.4887000,-1.4887000,0
8,1007.01,1007,65212867,PC,6.9989206,0.0000137,-0.0000137,0,3.9530000,0.4370000,-0.4370000,0,2840.0000000,0.9436180,-0.9436180,0,14.7752000,0.7647050,-0.7647050,0,448.7440000,,,,1282.0000000,,,,283.2910000,3.0025000,-3.0025000,0,6596.0000000,139.2000000,-139.2000000,0,3.7100000,0.0900000,-0.0900000,0,2.7000000,0.1300000,-0.1300000,0
9,1008.01,1008,440801822,FP,2.0483755,0.0000055,-0.0000055,0,2.7670000,0.8610000,-0.8610000,0,483.0000000,41.9400000,-41.9400000,0,3.1962100,,,0,5644.4000000,,,,,,,,144.2970000,,,0,6858.5000000,584.6000000,-584.6000000,0,4.2000000,1.9000000,-1.9000000,0,1.5700000,,,0
10,1009.01,1009,107782586,PC,1.9600277,0.0000025,-0.0000025,0,2.0065257,0.0505910,-0.0505910,0,1707.6272693,49.6012230,-49.6012230,0,,,,0,1063.3422958,,,,1456.4246534,,,,866.1470000,172.0970000,-172.0970000,0,8868.7000000,809.8000000,-809.8000000,0,,,,0,,,,0
